file	title	year	words	publication
deuxamis	Deux amis	1883	2226	Guy de Maupassant : Deux amis. Texte publié dans Gil Blas du 5 février 1883, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 259-278). Il a également été repris dans le supplément littéraire du Gaulois du 24 mars 1883, dans La Vie populaire du 8 avril 1883, dans le recueil Contes et nouvelles (Charpentier, 1885), dans le recueil Contes choisis (pp. 33-47), dans les Annales politiques et littéraires du 18 mars 1888, dans L’Écho de la semaine du 11 novembre 1888, dans L’Intransigeant illustré du 5 novembre 1891, dans le supplément littéraire de L’Écho de Paris du 13 mars 1892, dans Le Voleur du 31 mars 1892 et dans La Vie de famille du 3 avril 1892.
decore	Décoré !	1883	1928	Guy de Maupassant : Décoré ! Texte publié dans Gil Blas du 13 novembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 269-283). Il a également été repris dans le supplément littéraire de La Lanterne du 5 février 1888 et dans La Lune troyenne du 15 juin 1890. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
enmer	En mer	1883	1822	Guy de Maupassant : En mer. Texte publié dans Gil Blas du 12 février 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 149-163). Il a également été repris dans le supplément littéraire du Gaulois du 9 juin 1883, dans La Vie populaire du 19 août 1883, dans le recueil Contes choisis (pp. 157-168), dans L’Écho de la semaine du 12 janvier 1890, dans le supplément illustré du Petit Journal du 21 février 1891 et dans L’Intransigeant illustré du 2 juillet 1891.
voyage	En voyage	1883	2004	Guy de Maupassant : En voyage. Texte publié dans Le Gaulois du 10 mai 1883, puis publié dans le recueil Miss Harriet (pp. 315-330). Il a également été repris dans La Vie populaire du 13 juillet 1884, dans le supplément littéraire de La Lanterne du 15 août 1889, dans les Annales politiques et littéraires du 7 avril 1889 et dans le supplément littéraire illustré du Petit Parisien du 6 avril 1890. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
enragee	Enragée ?	1883	2741	Guy de Maupassant : Enragée ? Texte publié dans Gil Blas du 7 août 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Le rosier de Madame Husson (pp. 71-92). Il a également été repris dans Le nouveau Décaméron, 1ère journée (pp. 64-78) et dans La Vie populaire du 24 mai 1891.
drame	Humble drame	1883	1851	Guy de Maupassant : Humble drame. Texte publié dans Gil Blas du 2 octobre 1883, sous la signature de Maufrigneuse.
martine	La Martine	1883	2215	Guy de Maupassant : La Martine. Texte publié dans Gil Blas du 11 septembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Le rosier de Madame Husson (pp. 163-181). Il a également été repris dans Le nouveau Décaméron, 5ème journée (pp. 69-80) et dans La Lune troyenne du 20 janvier 1889.
confession	La confession	1883	1723	Guy de Maupassant : La Confession. Texte publié sous le titre L’aveu dans Le Gaulois du 21 octobre 1883, puis publié dans le recueil Contes du jour et de la nuit (pp. 341-354). Il a également été repris dans Le Bon Journal du 17 novembre 1887, dans La Vie populaire du 6 septembre 1888 et dans le supplément littéraire illustré du Petit Parisien du 10 novembre 1889.
sabot	La confession de Théodule Sabot	1883	2401	Guy de Maupassant : La confession de Théodule Sabot. Texte publié dans Gil Blas du 9 octobre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Toine (pp. 291-308). Il a également été repris dans La Lune troyenne du 24 juin 1888 et dans le recueil Histoire d’une fille de ferme (pp. 119-135).
farce	La farce	1883	1896	Guy de Maupassant : La farce. Texte publié dans Gil Blas du 18 décembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le colporteur (pp. 151-164).
fenetre	La fenêtre	1883	1964	Guy de Maupassant : La fenêtre. Texte publié dans Gil Blas du 10 juillet 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Le rosier de Madame Husson (pp. 293-310). Il a également été repris dans Le nouveau Décaméron, 3ème journée (pp. 55-65) et dans La Lune troyenne du 28 octobre 1888.
ficelle	La ficelle	1883	2274	Guy de Maupassant : La ficelle. Texte publié dans Le Gaulois du 25 novembre 1883, puis publié dans le recueil Miss Harriet (pp. 237-252). Il a également été repris dans La Vie populaire du 24 juillet 1884, dans le recueil Contes et nouvelles (Charpentier, 1885), dans le recueil Contes choisis (pp. 127-139), dans le supplément littéraire de La Lanterne du 12 juin 1887, dans Le Voleur du 10 novembre 1887, dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888) et dans le supplément littéraire illustré de L’Écho de Paris du 1er novembre 1891. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
main	La main	1883	2049	Guy de Maupassant : La main. Texte publié dans Le Gaulois du 23 décembre 1883, puis publié dans le recueil Contes du jour et de la nuit (pp. 197-213). Il a également été repris dans La Vie populaire du 10 mai 1885, dans La Semaine populaire du 11 octobre 1885, dans le supplément hebdomadaire de La Lanterne du 8 novembre 1885, dans les Annales politiques et littéraires du 15 janvier 1888, dans le supplément illustré du Petit Journal du 29 novembre 1890 et dans le recueil Trois contes (n° 271 de la « Nouvelle bibliothèque populaire », 1892).
moustache	La moustache	1883	1594	Guy de Maupassant : La moustache. Texte publié dans Gil Blas du 31 juillet 1883, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Toine (pp. 67-78).
mere	La mère aux monstres	1883	1806	Guy de Maupassant : La mère aux monstres. Texte publié dans Gil Blas du 12 juin 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Toine (pp. 275-289). Il a également été repris dans La Vie populaire du 5 août 1886.
hortense	La reine Hortense	1883	2459	Guy de Maupassant : La reine Hortense. Texte publié dans Gil Blas du 24 avril 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Clair de lune (pp. 65-77). Il a également été repris dans Le Voleur du 25 juillet 1889 et dans L’Écho de la semaine du 18 janvier 1891.
serre	La serre	1883	1896	Guy de Maupassant : La serre. Texte publié dans Gil Blas du 26 juin 1883, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le colporteur (pp. 33-47).
toux	La toux	1883	1543	Guy de Maupassant : La toux. Texte publié dans Panurge du 28 janvier 1883.
luneau	Le cas de Mme Luneau	1883	1615	Guy de Maupassant : Le cas de Madame Luneau. Texte publié dans Gil Blas du 21 août 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 167-179). Il a également été repris dans La Vie populaire du 19 février 1885, dans La Banlieue républicaine du 9 mars 1885, dans La Revue des journaux et des livres des 30 août et 5 septembre 1885 et dans La Lune troyenne du 11 novembre 1888. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
condamne	Le condamné à mort	1883	1369	Guy de Maupassant : Le condamné à mort. Texte publié dans Gil Blas du 10 avril 1883, sous la signature de Maufrigneuse. Il a également été repris dans les Annales politiques et littéraires du 8 mai 1892 sous le titre Le condamné à mort de Monaco.
malandre	Le mal d’André	1883	1932	Guy de Maupassant : Le mal d’André. Texte publié dans Gil Blas du 24 juillet 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 137-151). Il a également été repris dans La Vie populaire du 5 avril 1885, dans le supplément littéraire de La Lanterne du 25 mars 1888, dans La Lune troyenne du 28 juillet 1889 et dans L’Intransigeant illustré du 13 août 1891. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
modele	Le modèle	1883	2024	Guy de Maupassant : Le modèle. Texte publié dans Le Gaulois du 17 décembre 1883, puis publié dans le recueil Le rosier de Madame Husson (pp. 93-111). Il a également été repris dans Le nouveau Décaméron, 2ème journée (pp. 123-134) et dans La Vie populaire du 3 mai 1891.
pain	Le pain maudit	1883	1848	Guy de Maupassant : Le pain maudit. Texte publié dans Gil Blas du 29 mai 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 153-166). Il a également été repris dans le supplément littéraire de La Lanterne du 19 septembre 1889, dans L’Intransigeant illustré du 9 avril 1891 et dans Gil Blas illustré du 12 février 1893. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
petit	Le petit	1883	1922	Guy de Maupassant : Le petit. Texte publié dans Le Gaulois du 19 août 1883, puis publié dans le recueil Contes du jour et de la nuit (pp. 247-262). Il a également été repris dans La Vie populaire du 9 août 1888 et dans le recueil Histoire d’une fille de ferme (pp. 221-233).
pere2	Le père	1883	2923	Guy de Maupassant : Le père. Texte publié dans Gil Blas du 20 novembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Contes du jour et de la nuit (pp. 33-54). Il a également été repris dans La Vie populaire du 2 février 1888 et dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888).
judas	Le père Judas	1883	1191	Guy de Maupassant : Le Père Judas. Texte publié dans Le Gaulois du 28 février 1883.
milon	Le père Milon	1883	2165	Guy de Maupassant : Le Père Milon. Texte publié dans Le Gaulois du 22 mai 1883, puis publié dans le recueil posthume Le père Milon. Il a également été repris dans L’Écho de la semaine du 7 octobre 1888.
remplacant	Le remplaçant	1883	1309	Guy de Maupassant : Le remplaçant. Texte publié sous le titre Les remplaçants dans Gil Blas du 2 janvier 1883, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 307-319). Il a également été repris dans La Lune troyenne du 20 octobre 1889.
vengeur	Le vengeur	1883	1745	Guy de Maupassant : Le vengeur. Texte publié dans Gil Blas du 6 novembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le colporteur (pp. 99-112).
bijoux	Les bijoux	1883	2572	Guy de Maupassant : Les bijoux. Texte publié dans Gil Blas du 27 mars 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Clair de lune (pp. 121-132). Il a également été repris dans La Vie populaire du 20 septembre 1888 et dans L’Intransigeant illustré du 29 octobre 1891.
caresses	Les caresses	1883	1340	Guy de Maupassant : Les caresses. Texte publié dans Gil Blas du 14 août 1883, sous la signature de Maufrigneuse.
sabots	Les sabots	1883	1835	Guy de Maupassant : Les sabots. Texte publié dans Gil Blas du 21 janvier 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 115-130). Il a également été repris dans La Vie populaire du 16 septembre 1883, dans La Lune troyenne du 12 février 1888 et dans Gil Blas illustré du 30 mai 1891. La version originale du Gil Blas est précédée d’un préambule, où le narrateur évoque sa jalousie contre le mari d’une femme qu’il aime. La vue de chaussures devant la chambre du couple (la bottine de la femme étant couchée sur le grand soulier du mari) provoque une douleur cuisante, et établit un lien « par les pieds » avec le conte qui suit. Ce préambule, non dénué de qualité littéraire, n’a pas été repris dans la version du recueil. Peut-être s’agissait-il d’un message discret destiné à une femme, et qui n’avait pas vocation à rester dans l’œuvre...
lui	Lui ?	1883	2533	Guy de Maupassant : Lui ? Texte publié dans Gil Blas du 3 juillet 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 101-118). Il a également été repris dans le supplément illustré du Petit Journal du 8 août 1891. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
ami	L’ami Joseph	1883	1757	Guy de Maupassant : L’ami Joseph. Texte publié dans Le Gaulois du 3 juin 1883, puis publié dans le recueil posthume Le père Milon.
patience	L’ami Patience	1883	1826	Guy de Maupassant : L’ami Patience. Texte publié sous le titre L’ami dans Gil Blas du 4 septembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Toine (pp. 23-37). Il a également été repris dans le supplément littéraire de La Lanterne du 6 mai 1888.
attente	L’attente	1883	1816	Guy de Maupassant : L’attente. Texte publié dans Le Gaulois du 11 novembre 1883, puis publié dans le recueil posthume Le colporteur (pp. 113-126).
schnaffs	L’aventure de Walter Schnaffs	1883	2754	Guy de Maupassant : L’aventure de Walter Schnaffs. Texte publié dans Le Gaulois du 11 avril 1883, puis publié dans le recueil Les contes de la bécasse (pp. 277-298). Il a également été repris dans La Vie populaire du 13 mars 1884, dans le recueil Contes choisis (pp. 243-260), dans L’Écho de la semaine du 13 janvier 1889 et dans la Revue pour tous du 15 novembre 1889.
enfant	L’enfant	1883	1827	Guy de Maupassant : L’enfant. Texte publié dans Gil Blas du 18 septembre 1883, sous la signature de Maufrigneuse.
hommefille	L’homme-fille	1883	1392	Guy de Maupassant : L’homme-fille. Texte publié dans Gil Blas du 13 mars 1883, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Toine (pp. 55-65).
odyssee	L’odyssée d’une fille	1883	2238	Guy de Maupassant : L’odyssée d’une fille. Texte publié dans Gil Blas du 25 septembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Le rosier de Madame Husson (pp. 273-291). Il a également été repris dans Le nouveau Décaméron, 6ème journée (pp. 9-20) et dans La Lune troyenne du 16 juin 1889.
orient	L’orient	1883	1429	Guy de Maupassant : L’orient. Texte publié dans Le Gaulois du 13 septembre 1883. Certaines éditions (La Bibliothèque de la Pléiade par exemple) ne considèrent pas ce texte comme étant un conte.
orphelin	L’orphelin	1883	2235	Guy de Maupassant : L’orphelin. Texte publié dans Le Gaulois du 15 juin 1883, puis publié dans le recueil posthume Le père Milon.
ane	L’âne	1883	3044	Guy de Maupassant : L’âne. Texte publié sous le titre Le bon jour dans Le Gaulois du 15 juillet 1883, puis publié dans le recueil Miss Harriet (pp. 203-223). Il a également été repris dans La Vie populaire du 19 juin 1884 et dans L’Écho de la semaine du 8 septembre 1889. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
jocaste	M. Jocaste	1883	1513	Guy de Maupassant : M. Jocaste. Texte publié dans Gil Blas du 23 janvier 1883, sous la signature de Maufrigneuse.
cocotte	Mademoiselle Cocotte	1883	1892	Guy de Maupassant : Mademoiselle Cocotte. Texte publié dans Gil Blas du 20 mars 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Clair de lune (pp. 111-120). Il a également été repris dans L’Intransigeant illustré du 16 avril 1891 et dans le supplément illustré du Petit Journal du 29 août 1891.
harriet	Miss Harriet	1883	7005	Guy de Maupassant : Miss Harriet. Texte publié sous le titre Miss Hastings dans Le Gaulois du 9 juillet 1883, puis publié dans le recueil Miss Harriet (pp. 1-40). Il a également été repris dans La Vie populaire du 29 mai 1884. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
jules	Mon oncle Jules	1883	2636	Guy de Maupassant : Mon oncle Jules. Texte publié dans Le Gaulois du 7 août 1883, puis publié dans le recueil Miss Harriet (pp. 295-313). Il a également été repris dans La Vie populaire du 4 janvier 1885, dans le recueil Contes choisis (pp. 193-207), dans les Annales politiques et littéraires du 12 février 1888 et dans le supplément littéraire illustré du Petit Parisien du 11 mai 1890. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
neige	Première neige	1883	2749	Guy de Maupassant : Première neige. Texte publié dans Le Gaulois du 11 décembre 1883, puis publié dans le recueil posthume Le colporteur (pp. 127-149).
regret	Regret	1883	1994	Guy de Maupassant : Regret. Texte publié dans Le Gaulois du 4 novembre 1883, puis publié dans le recueil Miss Harriet (pp. 281-294). Il a également été repris dans La Vie populaire du 22 juin 1884, dans La Lecture du 1er décembre 1887 (numéro de Noël) et dans le supplément littéraire illustré du Petit Parisien du 30 octobre 1892. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
reveil	Réveil	1883	1728	Guy de Maupassant : Réveil. Texte publié dans Gil Blas du 20 février 1883, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 157-172). Il a également été repris dans La Lune troyenne du 27 octobre 1889.
antoine	Saint-Antoine	1883	2935	Guy de Maupassant : Saint-Antoine. Texte publié dans Gil Blas du 3 avril 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 255-276). Il a également été repris dans La Vie populaire du 22 juillet 1883, dans L’Écho de la semaine du 24 mars 1889, dans Gil Blas illustré du 14 juin 1891 et dans L’Intransigeant illustré du 26 novembre 1891.
tombouctou	Tombouctou	1883	2363	Guy de Maupassant : Tombouctou. Texte publié dans Le Gaulois du 2 août 1883, puis publié dans le recueil Contes du jour et de la nuit (pp. 275-293). Il a également été repris dans Le Bon Journal du 17 mai 1885, dans le supplément hebdomadaire de La Lanterne du 20 décembre 1885, dans La Vie populaire du 1er janvier 1888, dans les Annales politiques et littéraires du 22 septembre 1889, dans le supplément littéraire de La Lanterne du 6 mars 1890 et dans le recueil Histoire d’une fille de ferme (pp. 191-206).
coupdetat	Un coup d’État	1883	3346	Guy de Maupassant : Un coup d’État. Texte publié dans le recueil Clair de lune (pp. 17-32), paru en octobre 1883. Il a également été repris dans Le Voleur des 17 et 24 octobre 1889.
duel	Un duel	1883	1529	Guy de Maupassant : Un duel. Texte publié dans Le Gaulois du 14 août 1883, puis publié dans le recueil posthume Le colporteur (pp. 49-62). Il a également été repris dans les Annales politiques et littéraires du 6 septembre 1885 et dans le supplément littéraire de La Lanterne du 22 juillet 1888.
sage	Un sage	1883	2282	Guy de Maupassant : Un sage. Texte publié dans Gil Blas du 4 décembre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 181-196). Il a également été repris dans le supplément littéraire de La Lanterne du 3 octobre 1889. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
soiree	Une soirée	1883	2934	Guy de Maupassant : Une soirée. Texte publié dans Le Gaulois du 21 septembre 1883, puis publié dans le recueil posthume Le colporteur (pp. 63-86).
surprise	Une surprise	1883	2205	Guy de Maupassant : Une surprise. Texte publié dans Gil Blas du 15 mai 1883, sous la signature de Maufrigneuse.
vendetta	Une vendetta	1883	1593	Guy de Maupassant : Une vendetta. Texte publié dans Le Gaulois du 14 octobre 1883, puis publié dans le recueil Contes du jour et de la nuit (pp. 171-183). Il a également été repris dans La Semaine populaire du 17 mai 1885, dans La Revue des journaux et des livres des 27 septembre et 3 octobre 1885, dans les Annales politiques et littéraires du 18 septembre 1887, dans La Vie populaire du 26 janvier 1888, dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888) et dans le supplément littéraire illustré du Petit Parisien du 13 septembre 1891.
cheval	À cheval	1883	2320	Guy de Maupassant : À cheval. Texte publié dans Le Gaulois du 14 janvier 1883, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 189-208). Il a également été repris dans le recueil Contes choisis (pp. 101-113), dans L’Intransigeant illustré du 23 juillet 1891 et dans le supplément littéraire de L’Écho de Paris du 6 décembre 1891.
adieu	Adieu	1884	1597	Guy de Maupassant : Adieu. Texte publié dans Gil Blas du 18 mars 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Contes du jour et de la nuit (pp. 309-321). Il a également été repris dans La Vie populaire du 16 juillet 1885, dans La Lune troyenne du 16 juin 1888 et dans le supplément littéraire illustré du Petit Parisien du 27 octobre 1889.
berthe	Berthe	1884	3268	Guy de Maupassant : Berthe. Texte publié dans Le Figaro du 20 octobre 1884, puis publié dans le recueil Yvette (pp. 269-291). Il a également été repris dans le supplément illustré du Petit Journal du 23 mai 1891 et dans L’Intransigeant illustré du 10 décembre 1891. Vous pouvez consulter la version illustrée par Oreste Cortazzo, aux éditions P. Ollendorff, 1902.
bombard	Bombard	1884	1848	Guy de Maupassant : Bombard. Texte publié dans Gil Blas du 28 octobre 1884, puis publié dans le recueil Toine (pp. 115-130). Il a également été repris dans La Vie populaire du 22 avril 1886, dans le supplément littéraire de La Lanterne du 13 janvier 1889 et dans La Lune troyenne du 18 mai 1890.
chronique	Chronique	1884	1714	Guy de Maupassant : Chronique. Texte publié dans Le Gaulois du 14 avril 1884. Ce texte, que l’on classerait plutôt parmi les chroniques, a cependant été publié par la Bibliothèque de La Pléiade en tant que conte, pour sa deuxième partie.
chali	Châli	1884	3723	Guy de Maupassant : Châli. Texte publié dans Gil Blas du 15 avril 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 285-310). Il a également été repris dans La Vie populaire du 8 mars 1885, dans Le nouveau Décaméron, 8ème journée (pp. 85-105), et dans le supplément littéraire de La Lanterne du 20 mai 1888. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
coco2	Coco	1884	1394	Guy de Maupassant : Coco. Texte publié dans Le Gaulois du 21 janvier 1884, puis publié dans le recueil Contes du jour et de la nuit (pp. 185-196). Il a également été repris dans Le Voleur du 15 janvier 1885, dans La Vie populaire du 28 juin 1885, dans Le Bon Journal du 25 avril 1886, dans les Annales politiques et littéraires du 29 juillet 1888, dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888) et dans le supplément littéraire de La Lanterne du 12 février 1893.
decouverte	Découverte	1884	1616	Guy de Maupassant : Découverte. Texte publié dans Le Gaulois du 4 septembre 1884, puis publié dans le recueil Monsieur Parent (pp. 265-275). Il a également été repris dans L’Intransigeant illustré du 27 novembre 1890.
garcon	Garçon, un Bock !...	1884	2215	Guy de Maupassant : Garçon, un bock !... Texte publié dans Gil Blas du 1er janvier 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Miss Harriet (pp. 253-267). Il a également été repris dans Le Rabelais du 5 avril 1884, dans La Vie populaire du 23 novembre 1884 et dans le supplément littéraire de La Lanterne du 17 octobre 1889. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
idylle	Idylle	1884	1688	Guy de Maupassant : Idylle. Texte publié dans Gil Blas du 12 février 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Miss Harriet (pp. 225-236). Il a également été repris dans La Vie populaire du 29 juin 1884, dans le supplément littéraire de La Lanterne du 30 janvier 1887 et dans L’Intransigeant illustré du 6 novembre 1890. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
chambre	La chambre 11	1884	2307	Guy de Maupassant : La chambre 11. Texte publié dans Gil Blas du 9 décembre 1884, puis publié dans le recueil Toine (pp. 181-198). Il a également été repris dans le supplément littéraire de La Lanterne du 19 février 1888 et dans La Vie populaire du 5 juillet 1888.
chevelure	La chevelure	1884	2465	Guy de Maupassant : La chevelure. Texte publié dans Gil Blas du 13 mai 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Toine (pp. 131-148). Il a également été repris dans La Vie populaire du 28 octobre 1886.
confession3	La confession	1884	2098	Guy de Maupassant : La confession. Texte publié dans Gil Blas du 12 août 1884, puis publié dans le recueil Le rosier de Madame Husson (pp. 203-221).
confession2	La confession	1884	2633	Guy de Maupassant : La confession. Texte publié dans Le Figaro du 10 novembre 1884, puis publié dans le recueil Toine (pp. 257-274). Il a également été repris dans le supplément littéraire de La Lanterne du 8 avril 1888 et dans le recueil Histoire d’une fille de ferme (pp. 149-163).
dot	La dot	1884	1917	Guy de Maupassant : La dot. Texte publié dans Gil Blas du 9 septembre 1884, puis publié dans le recueil Toine (pp. 39-54). Il a également été repris dans Le Bon Journal du 21 juin 1885, dans le supplément littéraire de La Lanterne du 9 décembre 1888 et dans le recueil Histoire d’une fille de ferme (pp. 235-248).
sauvage	La mère Sauvage	1884	2491	Guy de Maupassant : La mère Sauvage. Texte publié dans Le Gaulois du 3 mars 1884, puis publié dans le recueil Miss Harriet (pp. 331-348). Il a également été repris dans les Annales politiques et littéraires du 4 mai 1884 sous le titre du recueil Miss Harriet, dans La Vie populaire du 17 juillet 1884, dans le recueil Contes choisis (pp. 85-99), dans La Lecture du 5 août 1887, dans le supplément littéraire de La Lanterne du 5 septembre 1889 et dans le supplément littéraire illustré du Petit Parisien du 6 octobre 1889. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
parure	La parure	1884	2814	Guy de Maupassant : La parure. Texte publié dans Le Gaulois du 17 février 1884, puis publié dans le recueil Contes du jour et de la nuit (pp. 71-93). Il a également été repris dans Le Voleur du 19 juin 1884, dans La Vie populaire du 7 mai 1885, dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888), dans les Annales politiques et littéraires du 6 octobre 1889, dans le supplément littéraire illustré du Petit Parisien du 14 décembre 1890 et dans le recueil Trois contes (n° 271 de la « Nouvelle bibliothèque populaire », 1892).
patronne	La patronne	1884	2384	Guy de Maupassant : La patronne. Texte publié dans Gil Blas du 1er avril 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 67-83). Il a également été repris dans La Lune troyenne du 25 novembre 1888, dans le supplément littéraire de La Lanterne du 27 juin 1889 et dans Gil Blas illustré du 1er janvier 1893. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
peur	La peur	1884	2468	Guy de Maupassant : La peur. Texte publié dans Le Figaro du 25 juillet 1884. Il a également été repris dans L’Écho de la semaine du 31 août 1890.
revanche	La revanche	1884	2937	Guy de Maupassant : La revanche. Texte publié dans Gil Blas du 18 novembre 1884, puis publié dans le recueil Le rosier de Madame Husson (pp. 247-272). Il a également été repris dans Le nouveau Décaméron, 7ème journée (pp. 123-139).
tombe	La tombe	1884	1320	Guy de Maupassant : La tombe. Texte publié dans Gil Blas du 29 juillet 1884, sous la signature de Maufrigneuse.
bapteme	Le baptême	1884	1628	Guy de Maupassant : Le baptême. Texte publié dans Le Gaulois du 14 janvier 1884, puis publié dans le recueil Miss Harriet (pp. 269-280). Il a également été repris dans La Vie populaire du 7 septembre 1884, dans le supplément littéraire de La Lanterne du 7 août 1887, dans le recueil L’héritage (n° 64 de la collection « Auteurs célèbres » chez Marpon et Flammarion, 1888), dans La Lune troyenne du 11 août 1889 et dans L’Intransigeant illustré du 30 octobre 1890. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
bonheur	Le bonheur	1884	2060	Guy de Maupassant : Le bonheur. Texte publié dans Le Gaulois du 16 mars 1884, puis publié dans le recueil Contes du jour et de la nuit (pp. 95-111). Il a également été repris dans Le Bon Journal du 7 mars 1886, dans les Annales politiques et littéraires du 9 octobre 1887, dans La Vie populaire du 26 juillet 1888 et dans le supplément littéraire illustré du Petit Parisien du 8 février 1891.
bucher	Le bûcher	1884	2161	Guy de Maupassant : Le bûcher. Texte publié dans Le Figaro du 7 septembre 1884.
boniface	Le crime au père Boniface	1884	1849	Guy de Maupassant : Le crime au père Boniface. Texte publié dans Gil Blas du 24 juin 1884, puis publié dans le recueil Contes du jour et de la nuit (pp. 3-15). Il a également été repris dans La Vie populaire du 28 mai 1885, dans La Lune troyenne du 25 mars 1888 et dans le recueil Histoire d’une fille de ferme (pp. 67-77).
garde	Le garde	1884	2508	Guy de Maupassant : Le garde. Texte publié dans Le Gaulois du 8 octobre 1884, puis publié dans le recueil Yvette (pp. 249-267). Il a également été repris dans le supplément hebdomadaire de La Lanterne du 1er février 1885 et dans L’Écho de la semaine du 20 avril 1890. Vous pouvez consulter la version illustrée par Oreste Cortazzo, aux éditions P. Ollendorff, 1902.
gueux	Le gueux	1884	1872	Guy de Maupassant : Le gueux. Texte publié dans Le Gaulois du 9 mars 1884, puis publié dans le recueil Contes du jour et de la nuit (pp. 215-228). Il a également été repris dans La Vie populaire du 17 mai 1885, dans Le Bon Journal du 26 septembre 1886, dans La Semaine populaire du 25 septembre 1887, dans le recueil Histoire d’une fille de ferme (pp. 79-89)
legs	Le legs	1884	2088	Guy de Maupassant : Le legs. Texte publié dans Gil Blas du 23 septembre 1884. Il a également été repris dans Le Voleur du 23 octobre 1884.
lit29	Le lit 29	1884	3835	Guy de Maupassant : Le lit 29. Texte publié dans Gil Blas du 8 juillet 1884, sous la signature de Maufrigneuse, puis publié dans le recueil Toine (pp. 75-100).
